Terms of Endearment		Kearney	 Nebraska	 USA
Terms of Endearment		Lincoln	 Nebraska	 USA
Terms of Endearment		New York City	 New York	 USA
Terms of Endearment	University of Nebraska	 Lincoln	 Nebraska	 USA
Gandhi	Old Town Hall	 Staines	 Surrey	 UK
Gandhi	"Aga Khan Palace,  Nagar Rd"	 Pune	 Maharashtra	 India
Gandhi			Bihar	 India
Gandhi			Maharashtra	 India
Gandhi		Mumbai	 Maharashtra	 India
Gandhi		Patna	 Bihar	 India
Gandhi		Pune	 Maharashtra	 India
Gandhi		West Bengal	 India	
Gandhi		Amritsar	 Punjab	 India
Gandhi	Birla House	 New Delhi	 Delhi	 India
Gandhi		Bromley-by-Bow	 London	 UK
Gandhi	Buckingham Palace	 Westminster	 London	 UK
Gandhi		Calcutta	 West Bengal	 India
Gandhi			Gujarat	 India
Gandhi		Hyderabad House	 Delhi	 India
Gandhi	India Gate	 New Delhi	 Delhi	 India
Gandhi	"Kingsley Hall,  Powis Road"	 Bromley-by-Bow	 London	 UK
Gandhi	Nagar Rd	 Pune	 Maharashtra	 India
Gandhi		New Delhi	 Delhi	 India
Gandhi		Porbandar	 Gujarat	 India
Gandhi	Powis Road	 Bromley-by-Bow	 London	 UK
Gandhi		Punjab		 India
Gandhi		Rajasthan		 India
Gandhi		Rajpath	 Delhi	 India
Gandhi		Rashtrapati Bhavan	 Delhi	 India
Gandhi	Red Fort	 Agra	 Uttar Pradesh	 India
Gandhi	Shepperton Studios	 Shepperton	 Surrey	 UK
Gandhi	Staines	 Surrey	 UK	 UK
Gandhi	Twickenham	 Middlesex	 UK	 UK
Gandhi	Udaipur	 Rajasthan	 India	 UK
Chariots of Fire	The Oval Sports Centre	 Bebington	 Merseyside	 UK
Chariots of Fire	Oyster Bar	 Café Royal	 Edinburgh	 UK
Chariots of Fire	Sma Glen	 Aberfeldy	 Perth and Kinross	 UK
Chariots of Fire	St. Andrews	 Fife	 UK	 UK
Chariots of Fire	West Sands Beach	 St. Andrews	 Fife	 UK
Chariots of Fire	Arthur's Seat	 Edinburgh	 UK	 UK
Chariots of Fire	Assembly Hall	 The Mound	 Edinburgh	 UK
Chariots of Fire	Birkenhead	 Merseyside	 UK	 UK
Chariots of Fire	Broughton McDonald Church	 Broughton Place	 Edinburgh	 UK
Chariots of Fire	Cafe Royal	 Edinburgh	 UK	 UK
Chariots of Fire	Cambridge University	 Cambridge	 Cambridgeshire	 UK
Chariots of Fire	Cowley Girls High School	 St. Helens	 Merseyside	 UK
Chariots of Fire	Eton College	 Eton	 Berkshire	 UK
Chariots of Fire	Goldenacre	 Inverleith	 Edinburgh	 UK
Chariots of Fire	Hall Barn	 Beaconsfield	 Buckinghamshire	 UK
Chariots of Fire	Holyrood Park	 Edinburgh	 UK	 UK
Chariots of Fire	Inverleith	 Edinburgh	 UK	 UK
